cod_provin,provincia,cod_canton,canton,16/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,03/10/2020,04/10/2020,05/10/2020
1,San José,107,Mora,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,18,19,20,21,26,29,31,37,37,46,46,50,54,56,57,60,60,61,64,67,70,70,71,75,78,80,81,83,83,83,86,88,88,88,94,104,108,109,109,109,109,109,109,109,110,110,110,110,110,155,155,156,161,171,171,171,189,192,192,192,192,192,192,243,240,240,240,261,261,261,261,261,262,262,262,262,359,359,362,367,372,379
1,San José,114,Moravia,1,1,1,2,6,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,23,23,23,27,28,35,36,40,40,40,49,54,56,58,63,67,67,77,80,91,92,100,100,105,118,128,130,135,143,151,154,161,165,165,166,181,181,200,200,203,212,213,220,220,244,250,258,269,271,274,275,276,282,287,296,301,308,311,311,330,343,357,361,369,371,371,374,396,430,434,445,445,456,466,473,475,490,490,491,496,500,541,552,570,591,599,630
1,San José,119,Pérez Zeledón,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,9,12,12,12,12,12,12,12,13,13,13,14,14,14,14,15,15,16,16,17,17,18,18,18,18,18,20,21,22,22,22,23,23,23,24,24,24,24,24,24,25,28,28,28,28,28,28,29,29,29,30,30,30,30,30,33,39,39,40,41,41,42,42,42,42,43,45,45,75,105,114,117,123,129
1,San José,104,Puriscal,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,15,15,15,15,15,15,16,16,16,16,31,33,33,33,35,39,39,39,39,39,39,39,39,40,42,43,43,43,73,73,73,127,127,129,129,129,129,129,150,150,150,150,159,159,159,177,179,180,181,181,181,181,218,220,220,223,240,241,241,241,241,242,244,244,245,294,295,299,304,307,308
1,San José,101,San José,5,5,7,7,5,8,9,11,20,22,26,28,28,29,35,40,41,43,44,49,50,50,53,57,61,61,63,64,65,65,67,67,67,68,69,71,74,76,78,78,81,85,86,87,89,89,91,92,93,94,94,95,95,96,96,96,96,100,101,114,122,121,121,125,131,131,132,146,148,149,153,154,154,154,155,160,161,161,163,165,170,176,181,191,200,216,220,230,249,261,269,300,303,305,323,332,338,339,344,348,384,385,389,400,411,432,435,444,451,1121,1149,1160,1279,1361,1396,1403,1413,1417,1444,1538,1541,1543,1547,1550,1552,1561,1565,1567,1569,2750,2836,2847,3447,3457,3865,4020,4038,4051,4110,4649,4667,4675,4704,5078,5092,5099,5445,5476,5481,5483,5498,5549,5553,5806,5805,5814,5835,6129,6166,6171,6175,6180,6245,6419,6667,6899,9457,9938,10414,10772,11113,11329
1,San José,109,Santa Ana,2,2,3,9,16,17,18,18,20,20,21,21,21,21,23,23,26,26,31,31,31,31,33,33,34,34,34,34,34,35,36,37,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,39,39,39,39,40,41,41,41,41,42,42,42,42,42,42,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,43,50,50,50,50,50,50,51,51,51,51,53,53,54,54,67,67,67,67,67,67,70,70,70,70,86,86,133,134,135,135,135,148,157,180,195,198,199,199,200,201,201,201,201,201,289,293,294,294,295,296,314,316,316,316,319,321,321,322,323,324,324,326,326,326,327,327,328,328,333,337,337,339,339,340,340,341,341,343,344,349,366,977,981,1021,1050,1093,1123
1,San José,105,Tarrazú,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,9,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,14,14,16,17,17,17,17,17,17,17,17,17,18,18,19,19
1,San José,113,Tibás,1,1,1,1,3,3,4,6,8,8,8,8,8,9,10,11,11,11,11,11,12,12,12,12,12,12,12,14,14,14,15,15,15,15,15,15,15,18,19,19,19,19,19,19,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,18,18,18,18,18,18,18,18,18,21,22,22,22,23,23,23,23,23,23,23,23,32,32,32,35,35,35,37,46,46,52,52,52,52,52,53,53,53,55,56,56,56,56,57,57,57,57,57,152,152,153,153,153,153,153,154,154,154,155,155,155,155,155,155,155,155,155,155,270,284,286,368,376,417,419,419,425,432,438,441,441,442,463,466,467,469,469,469,469,469,469,474,501,496,496,498,501,503,504,504,506,510,513,531,560,756,795,855,951,1056,1122
1,San José,116,Turrubares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,13,13,13,15,15,19,19,19,19,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,22,22,22,22,23,23,23,23,23,23,24,24,24,26,26,28,28,29,30
1,San José,111,Vázquez de Coronado,1,1,1,2,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,13,13,13,13,13,13,14,14,14,14,15,15,15,15,15,17,17,17,17,17,18,18,21,21,22,22,22,28,28,28,29,29,29,29,34,34,34,40,40,40,41,41,41,41,43,43,44,44,44,44,45,152,152,152,152,156,156,156,167,180,188,195,198,198,199,201,201,208,212,213,213,278,279,280,306,306,324,332,332,332,333,364,365,366,367,386,389,389,423,424,425,425,425,430,430,473,476,476,476,518,522,522,523,523,523,523,525,526,759,764,791,802,830,843
2,Alajuela,201,Alajuela,17,27,33,34,36,42,42,42,45,48,50,51,50,51,52,54,54,55,55,56,57,58,62,63,65,65,67,67,68,70,70,70,70,70,72,72,72,73,73,74,74,74,74,75,77,77,77,78,78,78,78,78,78,79,79,79,81,81,81,81,81,81,81,81,81,81,81,81,82,82,84,85,85,85,85,87,87,88,89,91,91,94,96,97,97,101,105,108,109,116,122,122,122,123,123,127,131,137,139,144,144,149,149,149,160,164,166,168,169,179,189,194,199,205,205,211,214,218,225,231,235,243,250,260,272,287,296,315,328,333,342,360,365,373,383,397,397,407,452,475,483,498,513,517,517,556,589,624,632,633,642,642,645,649,655,657,662,668,714,727,748,764,859,979,1129,1290,1637,1889,2113,2372,2706,2974
2,Alajuela,205,Atenas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,21,21,22,24,24,24,32,32,33,36,36,36,36,39,39,39,39,39,39,39,39,52,62,66,66,66,66,66,66,79,79,79,79,80,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,106,106,106,106,106,106,106,115,117,120,124,127,134,135,137,138,143,148
2,Alajuela,203,Grecia,1,1,2,2,2,2,2,2,2,3,4,4,5,5,5,6,7,10,11,11,11,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,21,22,22,22,22,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,90,120,121,122,130,131,131,131,133,133,133,133,133,133,133,133,133,140,140,140,141,141,141,141,141,141,142,142,143,144,144,144,144,146,146,221,242,245,249,254,256,261,282,313,343
2,Alajuela,215,Guatuso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,9,9,22,27,30,30,30,30,30,34,34,59,59,59,59,72,75,82,82,86,86,86,87,87,87,87,87,87,87,89,89,89,89,91,91,91,91,91,91,91,94,94,94,94,94,94,96,96,96,109,109,109,109,109,110,110,110,114,114,117,117,117,117,117,117,117,118,121,131,132,132,132,135,143,143,145,145,145,145,151,151,154,154,155,156,156,156,156,157,159,160,160
2,Alajuela,214,Los Chiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,33,33,36,37,37,44,46,51,55,55,55,55,81,81,81,87,92,92,92,92,106,110,110,110,111,111,111,114,133,135,135,135,135,153,153,153,153,161,161,161,161,167,173,180,180,180,180,180,181,192,194,194,195,195,198,198,201,201,204,204,204,205,205,205,205,212,212,212,212,212,220,222,222,229,229,229,237,237,250,250,250,250,251,264,267,267,271,274,275,281,286,291,292,294,294,294
2,Alajuela,206,Naranjo,0,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,23,23,23,23,23,23,23,24,24,26,26,26,27,36,36,40,43,62,62,62,65,66,66,66,66,66,82,87,90,90,90,91,91,95,109,110,118,119,119,119,119,120,174,174,174,174,174,174,174,175,175,175,175,175,175,175,175,177,199,199,225,231,231,231,233,234,240,248,253,253,253,254,256,260,265,269,273,284,344,365
2,Alajuela,209,Orotina,0,1,1,1,1,1,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,15,15,15,15,15,15,15,15,15,17,19,19,19,19,19,23,23,24,24,24,24,27,28,28,28,28,28,28,32,32,32,33,33,33,38,42,44,51,55,55,55,55,55,59,61,61,61,61,61,62,62,85,85,85,85,89,104,111,116,119,121,123
2,Alajuela,207,Palmares,0,0,0,0,0,1,2,6,7,8,8,7,7,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,22,22,31,31,31,31,31,35,37,37,39,39,46,46,46,48,48,51,51,52,52,58,58,58,58,58,58,58,60,60,60,60,60,77,77,82,83,83,83,98,98,98,98,98,98,98,98,98,111,111,110,110,110,137,137,137,137,137,137,137,137,137,137,137,144,144,144,154,156,165,176,194,194,194,195,196,197,201,207,212,221,226,231
2,Alajuela,208,Poás,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,16,16,18,18,18,18,27,27,29,32,32,32,43,49,49,53,53,53,56,60,61,66,67,73,73,73,73,74,76,80,80,82,82,91,95,95,96,101,102,103,112,125,137,140,140,140,152,157,167,172,176,176,176,176,176,190,195,195,207,207,207,225,225,244,244,251,252,252,264,287,289,302,302,309,321
2,Alajuela,216,Río Cuarto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,19,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,31,31,31,32,32,33,39,66,102
2,Alajuela,210,San Carlos,0,2,5,5,5,7,7,7,8,9,9,11,12,13,13,13,17,17,19,20,23,25,26,26,27,27,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,30,45,45,46,57,57,82,109,115,134,138,148,149,149,168,170,170,186,186,186,186,206,209,232,232,233,233,237,240,245,252,254,254,254,270,274,274,274,296,296,296,295,295,297,297,297,297,307,342,360,364,387,391,392,398,399,406,423,425,436,436,443,457,481,485,497,497,497,517,521,534,534,535,541,541,541,541,542,566,581,581,581,581,587,589,597,604,604,604,604,610,613,614,621,624,624,624,661,723,726,748,922,1091,1123,1158,1239,1292,1327,1360,1390,1432
